order_id,pharmacy_id,pharmacy_name,placed_at,product_id,product_name,manufacturer,requested_qty,unit
ORD-000001,PHARM-015,Mohandessin Pharmacy · Minya,2026-05-14T23:06:30.447Z,PROD-0031,RINGER (OTSUKA ATECO) I.V. INF. 500 ML,OTSUKA  ATECO PHARMA > OTSUKA,60,pack
ORD-000002,PHARM-012,Heliopolis Community Pharmacy · Zagazig,2026-05-23T19:39:06.864Z,PROD-0066,EUTAXER 20 MG VIAL,HIKMA SPECIALIZED PHARMACEUTICALS,20,pack
ORD-000003,PHARM-050,Mataria Central Pharmacy · Tanta,2026-01-07T17:37:49.453Z,PROD-0114,TALA 100 MG 15 SACHETS,SAVYMIXX > NUTRIPHARMA  LTD,60,pack
ORD-000003,PHARM-050,Mataria Central Pharmacy · Tanta,2026-01-07T17:37:49.453Z,PROD-0085,GARCINAL G 30 TABS,ORGANIX > TULKA PHARM GROUP,10,pack
ORD-000003,PHARM-050,Mataria Central Pharmacy · Tanta,2026-01-07T17:37:49.453Z,PROD-0133,S-26 PROMIL GOLD 2 MILK 400 GM,PFIZER > FOOD AND BEVERAGE TRADING,150,pack
ORD-000003,PHARM-050,Mataria Central Pharmacy · Tanta,2026-01-07T17:37:49.453Z,PROD-0162,RANDOLANEX 100 MG 20 SACHETS,PHAROPHARMA,10,pack
ORD-000004,PHARM-019,Luxor Temple Dispensary · Mansoura,2026-03-22T22:55:30.401Z,PROD-0114,TALA 100 MG 15 SACHETS,SAVYMIXX > NUTRIPHARMA  LTD,100,pack
ORD-000005,PHARM-008,Alexandria Central · Ismailia,2026-06-21T07:54:03.861Z,PROD-0115,TOMED LACTOFERRIN 200 MG MULTIVITAMIN,SWIVEL NUTRIENT > WELLMED,20,pack
ORD-000006,PHARM-017,Mansoura City Pharmacy · Giza,2026-08-06T09:42:54.745Z,PROD-0056,LONGAGEN 30 CAPS.,COPAD PHARMA > SUNNY MEDICAL,60,pack
ORD-000007,PHARM-001,Nile Care Pharmacy · Cairo,2025-10-22T10:05:46.339Z,PROD-0034,MATRIX 20 CAPS.,DELTA PHARMA > DEVARTLAB PHARMA,50,pack
ORD-000008,PHARM-025,Zagazig Central Pharmacy · Suez,2026-08-07T10:36:42.185Z,PROD-0090,DEXTROSE 25% (ALLMED) I.V. INF. 500 ML (RUBBER CAP),ALLMED MIDDLE EAST,50,pack
ORD-000009,PHARM-036,Marsa Matruh Health · Luxor,2025-11-27T09:41:10.601Z,PROD-0097,CO-TAREG 160/12.5MG 14 F.C.TABS.,NOVARTIS,30,pack
ORD-000009,PHARM-036,Marsa Matruh Health · Luxor,2025-11-27T09:41:10.601Z,PROD-0059,DAPOXTARD 60 MG 3 F.C. TABS.,AUG PHARMA,20,pack
ORD-000009,PHARM-036,Marsa Matruh Health · Luxor,2025-11-27T09:41:10.601Z,PROD-0006,MERLO 50GM CREAM,SMARTEC > DISTRICT,30,pack
ORD-000009,PHARM-036,Marsa Matruh Health · Luxor,2025-11-27T09:41:10.601Z,PROD-0153,OCUCARPINE 2% EYE DROPS 10 ML,ALEXANDRIA,150,pack
ORD-000010,PHARM-013,Nasr City Cure · Damanhur,2025-10-16T20:25:05.308Z,PROD-0110,PROFENID 50 MG 24 CAPS.,SANOFI,150,pack
ORD-000010,PHARM-013,Nasr City Cure · Damanhur,2025-10-16T20:25:05.308Z,PROD-0186,TRUJET SCALP LOTION 100 ML,EGYPTIAN COMPANY FOR COSMETICS > TEJEDA PHARMA,50,pack
ORD-000010,PHARM-013,Nasr City Cure · Damanhur,2025-10-16T20:25:05.308Z,PROD-0075,FELTADO MASSAGE CREAM 80 GM,EGYPTIAN CO. FOR COSMETICS > DOCARE PHARM,100,pack
